Waypoint(Transform(Location(x=228.821075, y=114.995583, z=0.605375), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=227.997162, y=142.620895, z=1.185678), Rotation(pitch=1.173292, yaw=95.956947, roll=0.000000)))
Waypoint(Transform(Location(x=227.969757, y=142.876846, z=1.191912), Rotation(pitch=1.173292, yaw=96.264595, roll=0.000000)))
Waypoint(Transform(Location(x=227.940948, y=143.132751, z=1.198148), Rotation(pitch=1.173292, yaw=96.572357, roll=0.000000)))
Waypoint(Transform(Location(x=227.910736, y=143.389053, z=1.204397), Rotation(pitch=1.173292, yaw=96.880783, roll=0.000000)))
Waypoint(Transform(Location(x=227.844879, y=143.910660, z=1.217129), Rotation(pitch=1.173292, yaw=97.509132, roll=0.000000)))
Waypoint(Transform(Location(x=227.810364, y=144.167160, z=1.223395), Rotation(pitch=1.173292, yaw=97.818420, roll=0.000000)))
Waypoint(Transform(Location(x=227.774551, y=144.422974, z=1.229651), Rotation(pitch=1.173292, yaw=98.127159, roll=0.000000)))
Waypoint(Transform(Location(x=227.737289, y=144.678940, z=1.235914), Rotation(pitch=1.173292, yaw=98.436279, roll=0.000000)))
Waypoint(Transform(Location(x=227.698608, y=144.934906, z=1.242183), Rotation(pitch=1.173292, yaw=98.745659, roll=0.000000)))
Waypoint(Transform(Location(x=227.615692, y=145.454941, z=1.254935), Rotation(pitch=1.173292, yaw=99.375023, roll=0.000000)))
Waypoint(Transform(Location(x=227.572769, y=145.710632, z=1.261213), Rotation(pitch=1.173292, yaw=99.684883, roll=0.000000)))
Waypoint(Transform(Location(x=227.528305, y=145.966949, z=1.267513), Rotation(pitch=1.173292, yaw=99.995781, roll=0.000000)))
Waypoint(Transform(Location(x=227.482605, y=146.222168, z=1.273791), Rotation(pitch=1.173292, yaw=100.305649, roll=0.000000)))
Waypoint(Transform(Location(x=227.435562, y=146.476990, z=1.280066), Rotation(pitch=1.173292, yaw=100.615334, roll=0.000000)))
Waypoint(Transform(Location(x=227.386993, y=146.732315, z=1.286360), Rotation(pitch=1.173292, yaw=100.925957, roll=0.000000)))
Waypoint(Transform(Location(x=227.284073, y=147.250076, z=1.299143), Rotation(pitch=1.173292, yaw=101.556854, roll=0.000000)))
Waypoint(Transform(Location(x=227.231216, y=147.505081, z=1.305449), Rotation(pitch=1.173292, yaw=101.868080, roll=0.000000)))
Waypoint(Transform(Location(x=227.177139, y=147.759018, z=1.311736), Rotation(pitch=1.173292, yaw=102.178368, roll=0.000000)))
Waypoint(Transform(Location(x=227.121597, y=148.013016, z=1.318032), Rotation(pitch=1.173292, yaw=102.489113, roll=0.000000)))
Waypoint(Transform(Location(x=227.064560, y=148.267258, z=1.324342), Rotation(pitch=1.173292, yaw=102.800514, roll=0.000000)))
Waypoint(Transform(Location(x=226.944565, y=148.782211, z=1.337146), Rotation(pitch=1.173292, yaw=103.432449, roll=0.000000)))
Waypoint(Transform(Location(x=226.883240, y=149.035889, z=1.343465), Rotation(pitch=1.173292, yaw=103.744354, roll=0.000000)))
Waypoint(Transform(Location(x=226.820496, y=149.289398, z=1.349789), Rotation(pitch=1.173292, yaw=104.056458, roll=0.000000)))
Waypoint(Transform(Location(x=226.756500, y=149.542099, z=1.356102), Rotation(pitch=1.173292, yaw=104.367989, roll=0.000000)))
Waypoint(Transform(Location(x=226.691193, y=149.794250, z=1.362409), Rotation(pitch=1.173292, yaw=104.679306, roll=0.000000)))
Waypoint(Transform(Location(x=226.554199, y=150.305588, z=1.375228), Rotation(pitch=1.173292, yaw=105.311966, roll=0.000000)))
Waypoint(Transform(Location(x=226.484482, y=150.557571, z=1.381559), Rotation(pitch=1.173292, yaw=105.624420, roll=0.000000)))
Waypoint(Transform(Location(x=226.413315, y=150.809402, z=1.387896), Rotation(pitch=1.173292, yaw=105.937180, roll=0.000000)))
Waypoint(Transform(Location(x=226.340897, y=151.060364, z=1.394221), Rotation(pitch=1.173292, yaw=106.249352, roll=0.000000)))
Waypoint(Transform(Location(x=226.267212, y=151.310654, z=1.400539), Rotation(pitch=1.173292, yaw=106.561172, roll=0.000000)))
Waypoint(Transform(Location(x=226.192001, y=151.561081, z=1.406871), Rotation(pitch=1.173292, yaw=106.873657, roll=0.000000)))
Waypoint(Transform(Location(x=226.035324, y=152.067535, z=1.419708), Rotation(pitch=1.173292, yaw=107.507240, roll=0.000000)))
Waypoint(Transform(Location(x=225.955765, y=152.317352, z=1.426058), Rotation(pitch=1.173292, yaw=107.820595, roll=0.000000)))
Waypoint(Transform(Location(x=225.874664, y=152.567337, z=1.432422), Rotation(pitch=1.173292, yaw=108.134674, roll=0.000000)))
Waypoint(Transform(Location(x=225.792557, y=152.815689, z=1.438756), Rotation(pitch=1.173292, yaw=108.447289, roll=0.000000)))
Waypoint(Transform(Location(x=225.709122, y=153.063553, z=1.445089), Rotation(pitch=1.173292, yaw=108.759850, roll=0.000000)))
Waypoint(Transform(Location(x=225.535782, y=153.564835, z=1.457932), Rotation(pitch=1.173292, yaw=109.393723, roll=0.000000)))
Waypoint(Transform(Location(x=225.447891, y=153.812271, z=1.464291), Rotation(pitch=1.173292, yaw=109.707550, roll=0.000000)))
Waypoint(Transform(Location(x=225.358673, y=154.059235, z=1.470650), Rotation(pitch=1.173292, yaw=110.021400, roll=0.000000)))
Waypoint(Transform(Location(x=225.268311, y=154.305145, z=1.476993), Rotation(pitch=1.173292, yaw=110.334465, roll=0.000000)))
Waypoint(Transform(Location(x=225.176422, y=154.551025, z=1.483350), Rotation(pitch=1.173292, yaw=110.648201, roll=0.000000)))
Waypoint(Transform(Location(x=225.083130, y=154.796555, z=1.489710), Rotation(pitch=1.173292, yaw=110.962090, roll=0.000000)))
Waypoint(Transform(Location(x=224.890350, y=155.291534, z=1.502574), Rotation(pitch=1.173292, yaw=111.596947, roll=0.000000)))
Waypoint(Transform(Location(x=224.792923, y=155.535660, z=1.508938), Rotation(pitch=1.173292, yaw=111.911072, roll=0.000000)))
Waypoint(Transform(Location(x=224.694321, y=155.778931, z=1.515295), Rotation(pitch=1.173292, yaw=112.224785, roll=0.000000)))
Waypoint(Transform(Location(x=224.594360, y=156.021652, z=1.521651), Rotation(pitch=1.173292, yaw=112.538506, roll=0.000000)))
Waypoint(Transform(Location(x=224.492889, y=156.264267, z=1.528020), Rotation(pitch=1.173292, yaw=112.852821, roll=0.000000)))
Waypoint(Transform(Location(x=224.283463, y=156.753571, z=1.540908), Rotation(pitch=1.173292, yaw=113.488892, roll=0.000000)))
Waypoint(Transform(Location(x=224.177795, y=156.994904, z=1.547287), Rotation(pitch=1.173292, yaw=113.803734, roll=0.000000)))
Waypoint(Transform(Location(x=224.070801, y=157.235641, z=1.553667), Rotation(pitch=1.173292, yaw=114.118584, roll=0.000000)))
Waypoint(Transform(Location(x=223.962860, y=157.475006, z=1.560025), Rotation(pitch=1.173292, yaw=114.432404, roll=0.000000)))
Waypoint(Transform(Location(x=223.853394, y=157.714188, z=1.566395), Rotation(pitch=1.173292, yaw=114.746765, roll=0.000000)))
Waypoint(Transform(Location(x=223.742294, y=157.953491, z=1.572784), Rotation(pitch=1.173292, yaw=115.062088, roll=0.000000)))
Waypoint(Transform(Location(x=223.514160, y=158.434357, z=1.585672), Rotation(pitch=1.173292, yaw=115.698166, roll=0.000000)))
Waypoint(Transform(Location(x=223.399063, y=158.671875, z=1.592063), Rotation(pitch=1.173292, yaw=116.013596, roll=0.000000)))
Waypoint(Transform(Location(x=223.283081, y=158.907898, z=1.598431), Rotation(pitch=1.173292, yaw=116.327896, roll=0.000000)))
Waypoint(Transform(Location(x=223.165756, y=159.143372, z=1.604802), Rotation(pitch=1.173292, yaw=116.642319, roll=0.000000)))
Waypoint(Transform(Location(x=223.046921, y=159.378601, z=1.611184), Rotation(pitch=1.173292, yaw=116.957268, roll=0.000000)))
Waypoint(Transform(Location(x=222.802795, y=159.852112, z=1.624084), Rotation(pitch=1.173292, yaw=117.593979, roll=0.000000)))
Waypoint(Transform(Location(x=222.679596, y=160.086227, z=1.630491), Rotation(pitch=1.173292, yaw=117.910133, roll=0.000000)))
Waypoint(Transform(Location(x=222.555222, y=160.319458, z=1.636891), Rotation(pitch=1.173292, yaw=118.226044, roll=0.000000)))
Waypoint(Transform(Location(x=222.430054, y=160.551132, z=1.643268), Rotation(pitch=1.173292, yaw=118.540741, roll=0.000000)))
Waypoint(Transform(Location(x=222.303604, y=160.782120, z=1.649644), Rotation(pitch=1.173292, yaw=118.855446, roll=0.000000)))
Waypoint(Transform(Location(x=222.043839, y=161.247421, z=1.662549), Rotation(pitch=1.173292, yaw=119.492332, roll=0.000000)))
Waypoint(Transform(Location(x=221.913071, y=161.477142, z=1.668950), Rotation(pitch=1.173292, yaw=119.808258, roll=0.000000)))
Waypoint(Transform(Location(x=221.780930, y=161.706314, z=1.675356), Rotation(pitch=1.173292, yaw=120.124413, roll=0.000000)))
Waypoint(Transform(Location(x=221.647827, y=161.934250, z=1.681748), Rotation(pitch=1.173292, yaw=120.439873, roll=0.000000)))
Waypoint(Transform(Location(x=221.513641, y=162.161209, z=1.688132), Rotation(pitch=1.173292, yaw=120.754982, roll=0.000000)))
Waypoint(Transform(Location(x=221.377884, y=162.387894, z=1.694530), Rotation(pitch=1.173292, yaw=121.070740, roll=0.000000)))
Waypoint(Transform(Location(x=221.100311, y=162.842834, z=1.707436), Rotation(pitch=1.173292, yaw=121.707680, roll=0.000000)))
Waypoint(Transform(Location(x=220.960388, y=163.067917, z=1.713854), Rotation(pitch=1.173292, yaw=122.024422, roll=0.000000)))
Waypoint(Transform(Location(x=220.819611, y=163.291611, z=1.720254), Rotation(pitch=1.173292, yaw=122.340294, roll=0.000000)))
Waypoint(Transform(Location(x=220.677841, y=163.514191, z=1.726644), Rotation(pitch=1.173292, yaw=122.655685, roll=0.000000)))
Waypoint(Transform(Location(x=220.534485, y=163.736496, z=1.733049), Rotation(pitch=1.173292, yaw=122.971802, roll=0.000000)))
Waypoint(Transform(Location(x=220.241730, y=164.182358, z=1.745965), Rotation(pitch=1.173292, yaw=123.609261, roll=0.000000)))
Waypoint(Transform(Location(x=220.094376, y=164.402725, z=1.752385), Rotation(pitch=1.173292, yaw=123.926086, roll=0.000000)))
Waypoint(Transform(Location(x=219.945816, y=164.622269, z=1.758804), Rotation(pitch=1.173292, yaw=124.242882, roll=0.000000)))
Waypoint(Transform(Location(x=219.796448, y=164.840424, z=1.765206), Rotation(pitch=1.173292, yaw=124.558876, roll=0.000000)))
Waypoint(Transform(Location(x=219.645874, y=165.057724, z=1.771608), Rotation(pitch=1.173292, yaw=124.874840, roll=0.000000)))
Waypoint(Transform(Location(x=219.338470, y=165.493607, z=1.784524), Rotation(pitch=1.173292, yaw=125.512276, roll=0.000000)))
Waypoint(Transform(Location(x=219.183777, y=165.709106, z=1.790948), Rotation(pitch=1.173292, yaw=125.829315, roll=0.000000)))
Waypoint(Transform(Location(x=219.027908, y=165.923767, z=1.797371), Rotation(pitch=1.173292, yaw=126.146347, roll=0.000000)))
Waypoint(Transform(Location(x=218.871338, y=166.136856, z=1.803774), Rotation(pitch=1.173292, yaw=126.462364, roll=0.000000)))
Waypoint(Transform(Location(x=218.713638, y=166.349060, z=1.810176), Rotation(pitch=1.173292, yaw=126.778328, roll=0.000000)))
Waypoint(Transform(Location(x=218.554413, y=166.560837, z=1.816593), Rotation(pitch=1.173292, yaw=127.094994, roll=0.000000)))
Waypoint(Transform(Location(x=218.230057, y=166.984879, z=1.829521), Rotation(pitch=1.173292, yaw=127.733040, roll=0.000000)))
Waypoint(Transform(Location(x=218.067032, y=167.194336, z=1.835948), Rotation(pitch=1.173292, yaw=128.050278, roll=0.000000)))
Waypoint(Transform(Location(x=217.903214, y=167.402466, z=1.842362), Rotation(pitch=1.173292, yaw=128.366806, roll=0.000000)))
